rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
187,1642954,Will Richard,319,124,84,83.973,64,3,346,67.74193548387096,67.72016129032258,0.021774193548381504,92.19653179190752
188,1631222,Jake LaRavia,487,256,153,152.95499999999998,78,3,523,59.765625,59.74804687499999,0.017578125000007105,93.11663479923519
189,1630577,Julian Champagnie,622,159,98,98.012,76,6,689,61.63522012578616,61.64276729559749,-0.00754716981132475,90.27576197387518
190,203076,Anthony Davis,289,254,140,140.035,19,1,334,55.118110236220474,55.131889763779526,-0.013779527559051985,86.52694610778443
191,1629023,P.J. Washington,574,362,197,197.272,52,4,658,54.41988950276243,54.495027624309394,-0.07513812154696353,87.23404255319149
192,1642270,Donovan Clingan,529,328,216,216.247,67,10,684,65.85365853658537,65.92896341463415,-0.07530487804878305,77.3391812865497
193,203994,Jusuf Nurkić,315,250,137,137.562,38,3,358,54.8,55.024800000000006,-0.224800000000009,87.98882681564245
194,1627936,Alex Caruso,272,106,64,64.28200000000001,52,3,300,60.37735849056604,60.6433962264151,-0.26603773584906065,90.66666666666667
195,1631221,Collin Gillespie,764,243,113,113.689,77,3,842,46.50205761316872,46.785596707818925,-0.28353909465020166,90.73634204275534
196,203952,Andrew Wiggins,692,403,217,218.245,64,4,821,53.84615384615385,54.155086848635236,-0.308933002481389,84.28745432399512
197,1630573,Sam Hauser,548,81,46,46.292,74,4,601,56.79012345679013,57.150617283950616,-0.3604938271604894,91.18136439267887
198,1642867,Collin Murray-Boyles,299,250,156,157.014,51,4,342,62.4,62.805600000000005,-0.40560000000000684,87.42690058479532
199,1628398,Kyle Kuzma,621,396,221,222.65,67,2,689,55.80808080808081,56.224747474747474,-0.4166666666666643,90.13062409288824
200,1629630,Ja Morant,311,230,109,110.10300000000001,20,0,322,47.391304347826086,47.8708695652174,-0.4795652173913112,96.58385093167702
201,1629631,De'Andre Hunter,469,242,125,126.184,44,1,501,51.65289256198347,52.14214876033058,-0.4892561983471069,93.6127744510978
202,1642268,Isaiah Collier,387,309,180,181.961,52,7,515,58.25242718446602,58.887055016181236,-0.6346278317152141,75.14563106796116
203,202710,Jimmy Butler III,391,314,183,185.043,34,4,461,58.28025477707006,58.93089171974522,-0.6506369426751561,84.81561822125813
204,1642846,Ace Bailey,755,415,222,224.78300000000002,65,7,892,53.493975903614455,54.16457831325302,-0.6706024096385619,84.64125560538116
205,203932,Aaron Gordon,346,208,120,121.56200000000001,34,2,398,57.69230769230769,58.44326923076923,-0.7509615384615387,86.93467336683418
