rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,1,1630551,Justin Champagnie,462,12,6,14,12,8.839,85.71428571428571,63.13571428571429,22.578571428571415
2,2,1628379,Luke Kennard,443,40,15,66,45,31.504,68.18181818181819,47.733333333333334,20.448484848484853
3,3,1629130,Duncan Robinson,698,21,8,25,17,12.424999999999999,68.0,49.7,18.299999999999997
4,4,203083,Andre Drummond,337,21,9,29,21,15.969,72.41379310344827,55.065517241379304,17.348275862068967
5,6,1629640,Keldon Johnson,797,26,8,40,27,20.362000000000002,67.5,50.90500000000001,16.59499999999999
6,7,203999,Nikola Jokić,1132,42,17,182,111,81.564,60.989010989010985,44.815384615384616,16.17362637362637
7,8,1630643,Jay Huff,611,14,7,18,12,9.115,66.66666666666667,50.638888888888886,16.027777777777786
8,9,1631248,Baylor Scheierman,333,21,10,30,18,13.629999999999999,60.0,45.43333333333333,14.56666666666667
9,10,201939,Stephen Curry,799,30,7,94,48,35.038,51.06382978723404,37.27446808510638,13.789361702127664
10,11,1642285,Cam Spencer,556,39,19,105,59,44.796,56.19047619047619,42.66285714285715,13.52761904761904
11,12,1628978,Donte DiVincenzo,835,26,9,31,18,13.886000000000001,58.064516129032256,44.79354838709678,13.270967741935479
12,13,1630245,Ayo Dosunmu,747,25,13,49,28,21.651,57.142857142857146,44.18571428571428,12.957142857142863
13,14,1628378,Donovan Mitchell,1403,50,19,219,118,89.836,53.881278538812786,41.021004566210046,12.86027397260274
14,15,1641707,Taylor Hendricks,355,12,9,13,8,6.355,61.53846153846154,48.88461538461539,12.653846153846153
15,16,1629639,Tyler Herro,515,19,14,85,46,35.449,54.11764705882353,41.70470588235294,12.41294117647059
16,17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
17,18,1642844,Dylan Harper,656,41,19,74,43,34.081,58.108108108108105,46.05540540540541,12.052702702702696
18,19,1629060,Rui Hachimura,597,41,20,126,71,55.846000000000004,56.34920634920635,44.32222222222222,12.026984126984125
19,20,1631126,Caleb Love,490,20,13,35,18,13.951,51.42857142857143,39.86000000000001,11.568571428571424
20,21,203114,Khris Middleton,540,36,24,139,73,57.239,52.51798561151079,41.17913669064748,11.338848920863306
21,22,1629636,Darius Garland,672,30,13,100,53,41.695,53.0,41.695,11.305
22,23,1629029,Luka Dončić,1457,41,23,297,149,116.802,50.168350168350166,39.32727272727273,10.841077441077438
23,24,1631128,Christian Braun,389,13,6,21,11,8.791,52.38095238095238,41.86190476190476,10.519047619047619
24,25,1630557,Corey Kispert,394,13,5,15,8,6.4670000000000005,53.333333333333336,43.11333333333334,10.219999999999999
25,26,1630200,Tre Jones,617,32,8,59,34,28.08,57.6271186440678,47.59322033898305,10.033898305084747
26,27,1630538,Bones Hyland,468,17,15,20,10,8.102,50.0,40.510000000000005,9.489999999999995
27,28,1630696,Dru Smith,325,21,8,30,16,13.181000000000001,53.333333333333336,43.936666666666675,9.396666666666661
28,29,1631119,Jaylin Williams,352,19,4,23,12,9.847,52.17391304347826,42.813043478260866,9.360869565217392
29,30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
30,31,1630198,Isaiah Joe,543,23,11,35,19,15.812999999999999,54.285714285714285,45.18,9.105714285714285
