rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,2,1628379,Luke Kennard,443,40,15,66,45,31.504,68.18181818181819,47.733333333333334,20.448484848484853
2,7,203999,Nikola Jokić,1132,42,17,182,111,81.564,60.989010989010985,44.815384615384616,16.17362637362637
3,10,201939,Stephen Curry,799,30,7,94,48,35.038,51.06382978723404,37.27446808510638,13.789361702127664
4,11,1642285,Cam Spencer,556,39,19,105,59,44.796,56.19047619047619,42.66285714285715,13.52761904761904
5,14,1628378,Donovan Mitchell,1403,50,19,219,118,89.836,53.881278538812786,41.021004566210046,12.86027397260274
6,16,1629639,Tyler Herro,515,19,14,85,46,35.449,54.11764705882353,41.70470588235294,12.41294117647059
7,17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
8,18,1642844,Dylan Harper,656,41,19,74,43,34.081,58.108108108108105,46.05540540540541,12.052702702702696
9,19,1629060,Rui Hachimura,597,41,20,126,71,55.846000000000004,56.34920634920635,44.32222222222222,12.026984126984125
10,21,203114,Khris Middleton,540,36,24,139,73,57.239,52.51798561151079,41.17913669064748,11.338848920863306
11,22,1629636,Darius Garland,672,30,13,100,53,41.695,53.0,41.695,11.305
12,23,1629029,Luka Dončić,1457,41,23,297,149,116.802,50.168350168350166,39.32727272727273,10.841077441077438
13,26,1630200,Tre Jones,617,32,8,59,34,28.08,57.6271186440678,47.59322033898305,10.033898305084747
14,30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
15,32,1628973,Jalen Brunson,1475,51,23,363,187,153.969,51.515151515151516,42.41570247933884,9.099449035812675
16,34,1626171,Bobby Portis,750,48,18,188,96,79.051,51.06382978723404,42.04840425531915,9.015425531914893
17,36,1629018,Gary Trent Jr.,473,32,12,61,31,25.57,50.81967213114754,41.91803278688525,8.901639344262293
18,38,1642349,Ajay Mitchell,590,34,13,82,43,35.939,52.4390243902439,43.828048780487805,8.610975609756096
19,39,203501,Tim Hardaway Jr.,778,42,20,69,36,30.128,52.17391304347826,43.663768115942034,8.510144927536224
20,40,1631172,Ousmane Dieng,398,29,15,69,36,30.179000000000002,52.17391304347826,43.73768115942029,8.436231884057968
21,41,1631170,Jaime Jaquez Jr.,915,48,22,120,64,54.386,53.333333333333336,45.32166666666667,8.011666666666663
22,43,204001,Kristaps Porziņģis,388,24,7,86,42,35.245,48.83720930232558,40.98255813953488,7.854651162790702
23,44,1627750,Jamal Murray,1360,49,24,246,122,102.768,49.59349593495935,41.77560975609756,7.817886178861791
24,45,1642272,Jared McCain,480,36,13,71,37,31.494999999999997,52.11267605633803,44.35915492957746,7.753521126760575
25,46,203954,Joel Embiid,697,25,13,206,104,88.107,50.48543689320388,42.77038834951457,7.7150485436893135
26,47,1628991,Jaren Jackson Jr.,719,38,10,150,75,63.608000000000004,50.0,42.40533333333333,7.594666666666669
27,49,1628415,Dillon Brooks,959,35,21,223,111,94.79400000000001,49.775784753363226,42.508520179372205,7.267264573991021
28,51,202695,Kawhi Leonard,1258,44,21,326,164,141.518,50.306748466257666,43.410429447852756,6.89631901840491
29,53,1642263,Reed Sheppard,946,55,20,139,69,59.604,49.64028776978417,42.88057553956834,6.759712230215833
30,54,1627826,Ivica Zubac,482,30,10,66,37,32.547,56.06060606060606,49.31363636363636,6.7469696969697
