rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,1,1630551,Justin Champagnie,462,12,6,14,12,8.839,85.71428571428571,63.13571428571429,22.578571428571415
2,2,1631128,Christian Braun,389,13,6,10,7,4.754,70.0,47.54,22.46
3,3,1629130,Duncan Robinson,698,21,8,23,16,11.633,69.56521739130434,50.57826086956521,18.98695652173913
4,4,1628379,Luke Kennard,443,40,15,46,31,22.8,67.3913043478261,49.56521739130435,17.826086956521742
5,5,1641707,Taylor Hendricks,355,12,9,12,8,5.918,66.66666666666667,49.31666666666667,17.35
6,6,203083,Andre Drummond,337,21,9,29,21,15.969,72.41379310344827,55.065517241379304,17.348275862068967
7,8,1628378,Donovan Mitchell,1403,50,19,150,89,64.187,59.333333333333336,42.791333333333334,16.542
8,9,1642349,Ajay Mitchell,590,34,13,66,40,29.462,60.60606060606061,44.63939393939393,15.966666666666676
9,10,1629640,Keldon Johnson,797,26,8,37,25,19.259,67.56756756756756,52.05135135135136,15.516216216216208
10,11,203999,Nikola Jokić,1132,42,17,152,93,70.597,61.18421052631579,46.445394736842104,14.738815789473684
11,12,1631126,Caleb Love,490,20,13,22,12,8.844,54.54545454545455,40.199999999999996,14.345454545454551
12,13,1642272,Jared McCain,480,36,13,51,30,22.959,58.8235294117647,45.017647058823535,13.805882352941168
13,14,1629014,Anfernee Simons,648,36,14,55,31,23.714000000000002,56.36363636363637,43.11636363636364,13.24727272727273
14,15,1629029,Luka Dončić,1457,41,23,235,126,95.298,53.61702127659574,40.55234042553191,13.064680851063834
15,16,1628381,John Collins,659,37,14,57,34,26.575000000000003,59.64912280701754,46.62280701754387,13.02631578947367
16,17,1629639,Tyler Herro,515,19,14,70,39,30.047,55.714285714285715,42.924285714285716,12.79
17,18,1629636,Darius Garland,672,30,13,75,42,32.415,56.0,43.22,12.780000000000001
18,19,201939,Stephen Curry,799,30,7,55,28,21.003,50.90909090909091,38.18727272727273,12.721818181818179
19,20,1641730,Noah Clowney,631,28,9,29,16,12.350999999999999,55.172413793103445,42.58965517241379,12.582758620689653
20,21,1630573,Sam Hauser,601,29,11,24,15,12.059000000000001,62.5,50.24583333333334,12.254166666666663
21,22,1628978,Donte DiVincenzo,835,26,9,24,14,11.076,58.333333333333336,46.150000000000006,12.18333333333333
22,23,1631119,Jaylin Williams,352,19,4,16,9,7.051,56.25,44.06875,12.181249999999999
23,24,1630245,Ayo Dosunmu,747,25,13,38,22,17.416,57.89473684210526,45.83157894736843,12.063157894736833
24,25,1642285,Cam Spencer,556,39,19,68,39,30.864,57.35294117647059,45.38823529411765,11.964705882352938
25,26,1631248,Baylor Scheierman,333,21,10,26,15,11.927,57.69230769230769,45.87307692307692,11.81923076923077
26,27,1628989,Kevin Huerter,596,33,9,38,22,17.580000000000002,57.89473684210526,46.26315789473685,11.63157894736841
27,28,1631172,Ousmane Dieng,398,29,15,47,27,21.553,57.4468085106383,45.857446808510645,11.589361702127654
28,29,1628983,Shai Gilgeous-Alexander,1321,51,17,289,169,135.626,58.477508650519034,46.92941176470588,11.548096885813152
29,30,1630200,Tre Jones,617,32,8,54,32,26.061,59.25925925925926,48.26111111111111,10.998148148148147
30,31,203897,Zach LaVine,547,29,7,28,15,11.937,53.57142857142857,42.63214285714286,10.93928571428571
