rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,8,1628378,Donovan Mitchell,1403,50,19,150,89,64.187,59.333333333333336,42.791333333333334,16.542
2,11,203999,Nikola Jokić,1132,42,17,152,93,70.597,61.18421052631579,46.445394736842104,14.738815789473684
3,15,1629029,Luka Dončić,1457,41,23,235,126,95.298,53.61702127659574,40.55234042553191,13.064680851063834
4,29,1628983,Shai Gilgeous-Alexander,1321,51,17,289,169,135.626,58.477508650519034,46.92941176470588,11.548096885813152
5,41,1628415,Dillon Brooks,959,35,21,164,87,71.548,53.048780487804876,43.62682926829268,9.421951219512195
6,47,201142,Kevin Durant,1376,57,21,334,181,151.26999999999998,54.191616766467064,45.29041916167664,8.901197604790426
7,64,1628973,Jalen Brunson,1475,51,23,278,141,120.94500000000001,50.719424460431654,43.50539568345324,7.214028776978417
8,65,1630202,Payton Pritchard,1091,52,22,190,103,89.558,54.21052631578947,47.13578947368422,7.074736842105253
9,70,202695,Kawhi Leonard,1258,44,21,231,121,105.71300000000001,52.38095238095238,45.76320346320347,6.617748917748912
10,73,203468,CJ McCollum,1154,58,17,166,82,71.781,49.397590361445786,43.24156626506024,6.1560240963855435
11,77,201942,DeMar DeRozan,1005,54,23,269,136,119.75500000000001,50.55762081784387,44.5185873605948,6.039033457249069
12,82,1627742,Brandon Ingram,1288,55,22,276,139,123.917,50.36231884057971,44.89746376811595,5.464855072463763
13,111,1628368,De'Aaron Fox,1047,53,18,178,89,83.345,50.0,46.82303370786517,3.1769662921348285
14,118,1626164,Devin Booker,1198,43,21,204,95,89.914,46.568627450980394,44.07549019607843,2.493137254901967
15,125,1630595,Cade Cunningham,1189,49,13,154,71,67.886,46.103896103896105,44.08181818181818,2.0220779220779264
16,134,1627783,Pascal Siakam,1155,49,13,236,114,111.32900000000001,48.30508474576271,47.17330508474577,1.1317796610169424
17,142,1630552,Jalen Johnson,1228,57,13,202,92,91.016,45.54455445544554,45.05742574257426,0.48712871287128223
18,143,1630567,Scottie Barnes,1123,52,27,188,90,89.144,47.87234042553192,47.417021276595754,0.4553191489361623
19,168,1630578,Alperen Sengun,1123,55,16,196,84,88.62,42.857142857142854,45.214285714285715,-2.357142857142861
20,182,1627759,Jaylen Brown,1543,46,25,176,72,78.28500000000001,40.90909090909091,44.48011363636364,-3.5710227272727337
21,185,1628389,Bam Adebayo,1145,50,21,158,70,76.241,44.30379746835443,48.253797468354435,-3.950000000000003
