rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,2,1628379,Luke Kennard,443,40,15,66,45,31.504,68.18181818181819,47.733333333333334,20.448484848484853
2,3,1629130,Duncan Robinson,698,21,8,25,17,12.424999999999999,68.0,49.7,18.299999999999997
3,4,203083,Andre Drummond,337,21,9,29,21,15.969,72.41379310344827,55.065517241379304,17.348275862068967
4,6,1629640,Keldon Johnson,797,26,8,40,27,20.362000000000002,67.5,50.90500000000001,16.59499999999999
5,7,203999,Nikola Jokić,1132,42,17,182,111,81.564,60.989010989010985,44.815384615384616,16.17362637362637
6,9,1631248,Baylor Scheierman,333,21,10,30,18,13.629999999999999,60.0,45.43333333333333,14.56666666666667
7,10,201939,Stephen Curry,799,30,7,94,48,35.038,51.06382978723404,37.27446808510638,13.789361702127664
8,11,1642285,Cam Spencer,556,39,19,105,59,44.796,56.19047619047619,42.66285714285715,13.52761904761904
9,12,1628978,Donte DiVincenzo,835,26,9,31,18,13.886000000000001,58.064516129032256,44.79354838709678,13.270967741935479
10,13,1630245,Ayo Dosunmu,747,25,13,49,28,21.651,57.142857142857146,44.18571428571428,12.957142857142863
11,14,1628378,Donovan Mitchell,1403,50,19,219,118,89.836,53.881278538812786,41.021004566210046,12.86027397260274
12,16,1629639,Tyler Herro,515,19,14,85,46,35.449,54.11764705882353,41.70470588235294,12.41294117647059
13,17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
14,18,1642844,Dylan Harper,656,41,19,74,43,34.081,58.108108108108105,46.05540540540541,12.052702702702696
15,19,1629060,Rui Hachimura,597,41,20,126,71,55.846000000000004,56.34920634920635,44.32222222222222,12.026984126984125
16,20,1631126,Caleb Love,490,20,13,35,18,13.951,51.42857142857143,39.86000000000001,11.568571428571424
17,21,203114,Khris Middleton,540,36,24,139,73,57.239,52.51798561151079,41.17913669064748,11.338848920863306
18,22,1629636,Darius Garland,672,30,13,100,53,41.695,53.0,41.695,11.305
19,23,1629029,Luka Dončić,1457,41,23,297,149,116.802,50.168350168350166,39.32727272727273,10.841077441077438
20,26,1630200,Tre Jones,617,32,8,59,34,28.08,57.6271186440678,47.59322033898305,10.033898305084747
21,28,1630696,Dru Smith,325,21,8,30,16,13.181000000000001,53.333333333333336,43.936666666666675,9.396666666666661
22,30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
23,31,1630198,Isaiah Joe,543,23,11,35,19,15.812999999999999,54.285714285714285,45.18,9.105714285714285
24,32,1628973,Jalen Brunson,1475,51,23,363,187,153.969,51.515151515151516,42.41570247933884,9.099449035812675
25,33,203935,Marcus Smart,476,32,15,47,23,18.748,48.93617021276596,39.889361702127665,9.046808510638293
26,34,1626171,Bobby Portis,750,48,18,188,96,79.051,51.06382978723404,42.04840425531915,9.015425531914893
27,36,1629018,Gary Trent Jr.,473,32,12,61,31,25.57,50.81967213114754,41.91803278688525,8.901639344262293
28,37,1628975,Jevon Carter,307,23,12,35,17,13.928,48.57142857142857,39.79428571428572,8.777142857142849
29,38,1642349,Ajay Mitchell,590,34,13,82,43,35.939,52.4390243902439,43.828048780487805,8.610975609756096
30,39,203501,Tim Hardaway Jr.,778,42,20,69,36,30.128,52.17391304347826,43.663768115942034,8.510144927536224
