rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,8,1628378,Donovan Mitchell,1403,50,19,150,89,64.187,59.333333333333336,42.791333333333334,16.542
2,9,1642349,Ajay Mitchell,590,34,13,66,40,29.462,60.60606060606061,44.63939393939393,15.966666666666676
3,11,203999,Nikola Jokić,1132,42,17,152,93,70.597,61.18421052631579,46.445394736842104,14.738815789473684
4,13,1642272,Jared McCain,480,36,13,51,30,22.959,58.8235294117647,45.017647058823535,13.805882352941168
5,14,1629014,Anfernee Simons,648,36,14,55,31,23.714000000000002,56.36363636363637,43.11636363636364,13.24727272727273
6,15,1629029,Luka Dončić,1457,41,23,235,126,95.298,53.61702127659574,40.55234042553191,13.064680851063834
7,16,1628381,John Collins,659,37,14,57,34,26.575000000000003,59.64912280701754,46.62280701754387,13.02631578947367
8,17,1629639,Tyler Herro,515,19,14,70,39,30.047,55.714285714285715,42.924285714285716,12.79
9,18,1629636,Darius Garland,672,30,13,75,42,32.415,56.0,43.22,12.780000000000001
10,19,201939,Stephen Curry,799,30,7,55,28,21.003,50.90909090909091,38.18727272727273,12.721818181818179
11,25,1642285,Cam Spencer,556,39,19,68,39,30.864,57.35294117647059,45.38823529411765,11.964705882352938
12,29,1628983,Shai Gilgeous-Alexander,1321,51,17,289,169,135.626,58.477508650519034,46.92941176470588,11.548096885813152
13,30,1630200,Tre Jones,617,32,8,54,32,26.061,59.25925925925926,48.26111111111111,10.998148148148147
14,35,203954,Joel Embiid,697,25,13,142,78,63.077000000000005,54.929577464788736,44.42042253521127,10.509154929577463
15,36,1631170,Jaime Jaquez Jr.,915,48,22,101,57,46.563,56.43564356435643,46.1019801980198,10.33366336633663
16,38,204001,Kristaps Porziņģis,388,24,7,54,28,22.65,51.851851851851855,41.94444444444444,9.907407407407412
17,39,1629060,Rui Hachimura,597,41,20,71,40,33.228,56.33802816901409,46.800000000000004,9.538028169014083
18,41,1628415,Dillon Brooks,959,35,21,164,87,71.548,53.048780487804876,43.62682926829268,9.421951219512195
19,42,202699,Tobias Harris,659,44,15,111,63,52.565,56.75675675675676,47.35585585585586,9.4009009009009
20,43,1642844,Dylan Harper,656,41,19,55,31,25.889,56.36363636363637,47.07090909090909,9.292727272727276
21,45,1626181,Norman Powell,895,40,14,70,36,29.621,51.42857142857143,42.315714285714286,9.112857142857145
22,47,201142,Kevin Durant,1376,57,21,334,181,151.26999999999998,54.191616766467064,45.29041916167664,8.901197604790426
23,48,203114,Khris Middleton,540,36,24,85,45,37.477,52.94117647058823,44.09058823529411,8.850588235294119
24,49,1631099,Keegan Murray,300,12,11,50,26,21.589,52.0,43.17799999999999,8.82200000000001
25,51,1628991,Jaren Jackson Jr.,719,38,10,147,75,62.486000000000004,51.02040816326531,42.50748299319728,8.51292517006803
26,53,202696,Nikola Vučević,799,48,9,127,71,60.527,55.90551181102362,47.65905511811023,8.246456692913391
27,55,202685,Jonas Valančiūnas,390,45,9,91,53,45.777,58.24175824175824,50.3043956043956,7.937362637362639
28,56,1627750,Jamal Murray,1360,49,24,144,74,62.6,51.388888888888886,43.47222222222222,7.916666666666664
29,57,1642377,Jaylen Wells,698,44,21,58,31,26.438,53.44827586206897,45.58275862068965,7.865517241379315
30,59,1626171,Bobby Portis,750,48,18,108,57,48.516,52.77777777777778,44.92222222222222,7.855555555555561
