rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,52,1626164,Devin Booker,1198,43,21,115,57,44.428,49.56521739130435,38.633043478260866,10.932173913043485
2,57,1627759,Jaylen Brown,1543,46,25,141,73,58.239000000000004,51.773049645390074,41.30425531914894,10.468794326241131
3,61,201142,Kevin Durant,1376,57,21,150,74,59.09,49.333333333333336,39.39333333333333,9.940000000000005
4,74,1627750,Jamal Murray,1360,49,24,102,48,40.168,47.05882352941177,39.38039215686274,7.678431372549028
5,77,1627742,Brandon Ingram,1288,55,22,157,73,61.706,46.496815286624205,39.3031847133758,7.193630573248406
6,82,201942,DeMar DeRozan,1005,54,23,169,76,64.973,44.97041420118343,38.445562130177514,6.524852071005917
