rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,15,1629029,Luka Dončić,1457,41,23,235,126,95.298,53.61702127659574,40.55234042553191,13.064680851063834
2,29,1628983,Shai Gilgeous-Alexander,1321,51,17,289,169,135.626,58.477508650519034,46.92941176470588,11.548096885813152
3,47,201142,Kevin Durant,1376,57,21,334,181,151.26999999999998,54.191616766467064,45.29041916167664,8.901197604790426
4,64,1628973,Jalen Brunson,1475,51,23,278,141,120.94500000000001,50.719424460431654,43.50539568345324,7.214028776978417
5,70,202695,Kawhi Leonard,1258,44,21,231,121,105.71300000000001,52.38095238095238,45.76320346320347,6.617748917748912
6,77,201942,DeMar DeRozan,1005,54,23,269,136,119.75500000000001,50.55762081784387,44.5185873605948,6.039033457249069
7,82,1627742,Brandon Ingram,1288,55,22,276,139,123.917,50.36231884057971,44.89746376811595,5.464855072463763
8,118,1626164,Devin Booker,1198,43,21,204,95,89.914,46.568627450980394,44.07549019607843,2.493137254901967
9,134,1627783,Pascal Siakam,1155,49,13,236,114,111.32900000000001,48.30508474576271,47.17330508474577,1.1317796610169424
10,142,1630552,Jalen Johnson,1228,57,13,202,92,91.016,45.54455445544554,45.05742574257426,0.48712871287128223
