rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,26,1630595,Cade Cunningham,1189,49,13,63,36,25.459,57.142857142857146,40.41111111111111,16.731746031746034
2,32,1628973,Jalen Brunson,1475,51,23,85,46,33.024,54.11764705882353,38.85176470588235,15.265882352941176
3,33,203114,Khris Middleton,540,36,24,54,28,19.762,51.851851851851855,36.596296296296295,15.25555555555556
4,34,1629060,Rui Hachimura,597,41,20,55,31,22.618000000000002,56.36363636363637,41.123636363636365,15.240000000000002
5,40,1628983,Shai Gilgeous-Alexander,1321,51,17,89,49,36.709,55.056179775280896,41.246067415730344,13.810112359550551
6,52,1626164,Devin Booker,1198,43,21,115,57,44.428,49.56521739130435,38.633043478260866,10.932173913043485
7,56,1626171,Bobby Portis,750,48,18,80,39,30.535,48.75,38.16875,10.581249999999997
8,57,1627759,Jaylen Brown,1543,46,25,141,73,58.239000000000004,51.773049645390074,41.30425531914894,10.468794326241131
9,61,201142,Kevin Durant,1376,57,21,150,74,59.09,49.333333333333336,39.39333333333333,9.940000000000005
10,65,1630178,Tyrese Maxey,1501,46,22,73,35,28.329,47.945205479452056,38.8068493150685,9.13835616438356
11,73,1630552,Jalen Johnson,1228,57,13,50,24,20.038999999999998,48.0,40.077999999999996,7.922000000000004
12,74,1627750,Jamal Murray,1360,49,24,102,48,40.168,47.05882352941177,39.38039215686274,7.678431372549028
13,75,202695,Kawhi Leonard,1258,44,21,95,43,35.805,45.26315789473684,37.689473684210526,7.5736842105263165
14,77,1627742,Brandon Ingram,1288,55,22,157,73,61.706,46.496815286624205,39.3031847133758,7.193630573248406
15,82,201942,DeMar DeRozan,1005,54,23,169,76,64.973,44.97041420118343,38.445562130177514,6.524852071005917
16,85,1630170,Devin Vassell,755,48,17,55,26,22.825,47.27272727272727,41.5,5.772727272727273
17,86,1642267,Bub Carrington,741,48,29,60,28,24.548,46.666666666666664,40.91333333333333,5.753333333333337
18,91,1628378,Donovan Mitchell,1403,50,19,69,29,25.649,42.028985507246375,37.172463768115946,4.856521739130429
19,99,203468,CJ McCollum,1154,58,17,77,32,29.067,41.55844155844156,37.749350649350646,3.809090909090912
20,100,1629008,Michael Porter Jr.,958,42,9,77,31,28.292,40.25974025974026,36.74285714285715,3.5168831168831147
21,103,1630162,Anthony Edwards,1231,42,19,78,33,30.451,42.30769230769231,39.03974358974359,3.2679487179487197
22,105,1641718,Keyonte George,881,42,11,62,26,24.006,41.935483870967744,38.71935483870968,3.216129032258067
23,109,1629029,Luka Dončić,1457,41,23,62,23,21.504,37.096774193548384,34.68387096774194,2.4129032258064456
24,116,203954,Joel Embiid,697,25,13,64,26,25.03,40.625,39.109375,1.515625
25,118,1628415,Dillon Brooks,959,35,21,59,24,23.246000000000002,40.67796610169491,39.400000000000006,1.2779661016949078
26,121,1631097,Bennedict Mathurin,677,40,9,65,25,24.856,38.46153846153846,38.24000000000001,0.2215384615384508
27,130,203897,Zach LaVine,547,29,7,63,22,22.654,34.92063492063492,35.95873015873016,-1.038095238095245
28,143,1631157,Ryan Rollins,1030,51,19,50,18,19.538,36.0,39.076,-3.0760000000000005
29,150,1641705,Victor Wembanyama,1080,44,19,60,21,23.217,35.0,38.695,-3.6950000000000003
30,158,1631101,Shaedon Sharpe,868,29,19,51,17,19.565,33.333333333333336,38.36274509803922,-5.029411764705884
