rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,7,203999,Nikola Jokić,1132,42,17,182,111,81.564,60.989010989010985,44.815384615384616,16.17362637362637
2,11,1642285,Cam Spencer,556,39,19,105,59,44.796,56.19047619047619,42.66285714285715,13.52761904761904
3,14,1628378,Donovan Mitchell,1403,50,19,219,118,89.836,53.881278538812786,41.021004566210046,12.86027397260274
4,17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
5,19,1629060,Rui Hachimura,597,41,20,126,71,55.846000000000004,56.34920634920635,44.32222222222222,12.026984126984125
6,21,203114,Khris Middleton,540,36,24,139,73,57.239,52.51798561151079,41.17913669064748,11.338848920863306
7,22,1629636,Darius Garland,672,30,13,100,53,41.695,53.0,41.695,11.305
8,23,1629029,Luka Dončić,1457,41,23,297,149,116.802,50.168350168350166,39.32727272727273,10.841077441077438
9,30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
10,32,1628973,Jalen Brunson,1475,51,23,363,187,153.969,51.515151515151516,42.41570247933884,9.099449035812675
11,34,1626171,Bobby Portis,750,48,18,188,96,79.051,51.06382978723404,42.04840425531915,9.015425531914893
12,41,1631170,Jaime Jaquez Jr.,915,48,22,120,64,54.386,53.333333333333336,45.32166666666667,8.011666666666663
13,44,1627750,Jamal Murray,1360,49,24,246,122,102.768,49.59349593495935,41.77560975609756,7.817886178861791
14,46,203954,Joel Embiid,697,25,13,206,104,88.107,50.48543689320388,42.77038834951457,7.7150485436893135
15,47,1628991,Jaren Jackson Jr.,719,38,10,150,75,63.608000000000004,50.0,42.40533333333333,7.594666666666669
16,49,1628415,Dillon Brooks,959,35,21,223,111,94.79400000000001,49.775784753363226,42.508520179372205,7.267264573991021
17,51,202695,Kawhi Leonard,1258,44,21,326,164,141.518,50.306748466257666,43.410429447852756,6.89631901840491
18,53,1642263,Reed Sheppard,946,55,20,139,69,59.604,49.64028776978417,42.88057553956834,6.759712230215833
19,56,1630230,Naji Marshall,821,38,27,113,57,49.522,50.442477876106196,43.82477876106194,6.617699115044253
20,57,1630193,Immanuel Quickley,905,48,21,153,77,67.007,50.326797385620914,43.79542483660131,6.531372549019601
21,59,1629631,De'Andre Hunter,501,35,9,109,58,51.07,53.211009174311926,46.85321100917431,6.357798165137616
22,61,1630595,Cade Cunningham,1189,49,13,217,107,93.345,49.30875576036866,43.016129032258064,6.292626728110598
23,62,202699,Tobias Harris,659,44,15,135,71,62.544,52.592592592592595,46.32888888888888,6.263703703703712
24,63,201942,DeMar DeRozan,1005,54,23,438,212,184.728,48.401826484018265,42.175342465753424,6.226484018264841
25,66,1627742,Brandon Ingram,1288,55,22,433,212,185.623,48.96073903002309,42.86905311778291,6.09168591224018
26,69,202696,Nikola Vučević,799,48,9,153,80,71.173,52.287581699346404,46.51830065359477,5.769281045751633
27,70,1630202,Payton Pritchard,1091,52,22,232,119,105.93400000000001,51.293103448275865,45.66120689655173,5.631896551724132
28,71,1630178,Tyrese Maxey,1501,46,22,202,92,80.792,45.54455445544554,39.9960396039604,5.548514851485145
29,72,1626164,Devin Booker,1198,43,21,319,152,134.34199999999998,47.64890282131662,42.113479623824446,5.535423197492172
30,74,204456,T.J. McConnell,450,39,15,175,90,80.42,51.42857142857143,45.95428571428572,5.474285714285713
