rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,4,1628379,Luke Kennard,443,40,15,46,31,22.8,67.3913043478261,49.56521739130435,17.826086956521742
2,6,203083,Andre Drummond,337,21,9,29,21,15.969,72.41379310344827,55.065517241379304,17.348275862068967
3,8,1628378,Donovan Mitchell,1403,50,19,150,89,64.187,59.333333333333336,42.791333333333334,16.542
4,9,1642349,Ajay Mitchell,590,34,13,66,40,29.462,60.60606060606061,44.63939393939393,15.966666666666676
5,10,1629640,Keldon Johnson,797,26,8,37,25,19.259,67.56756756756756,52.05135135135136,15.516216216216208
6,11,203999,Nikola Jokić,1132,42,17,152,93,70.597,61.18421052631579,46.445394736842104,14.738815789473684
7,13,1642272,Jared McCain,480,36,13,51,30,22.959,58.8235294117647,45.017647058823535,13.805882352941168
8,14,1629014,Anfernee Simons,648,36,14,55,31,23.714000000000002,56.36363636363637,43.11636363636364,13.24727272727273
9,15,1629029,Luka Dončić,1457,41,23,235,126,95.298,53.61702127659574,40.55234042553191,13.064680851063834
10,16,1628381,John Collins,659,37,14,57,34,26.575000000000003,59.64912280701754,46.62280701754387,13.02631578947367
11,17,1629639,Tyler Herro,515,19,14,70,39,30.047,55.714285714285715,42.924285714285716,12.79
12,18,1629636,Darius Garland,672,30,13,75,42,32.415,56.0,43.22,12.780000000000001
13,19,201939,Stephen Curry,799,30,7,55,28,21.003,50.90909090909091,38.18727272727273,12.721818181818179
14,20,1641730,Noah Clowney,631,28,9,29,16,12.350999999999999,55.172413793103445,42.58965517241379,12.582758620689653
15,24,1630245,Ayo Dosunmu,747,25,13,38,22,17.416,57.89473684210526,45.83157894736843,12.063157894736833
16,25,1642285,Cam Spencer,556,39,19,68,39,30.864,57.35294117647059,45.38823529411765,11.964705882352938
17,26,1631248,Baylor Scheierman,333,21,10,26,15,11.927,57.69230769230769,45.87307692307692,11.81923076923077
18,27,1628989,Kevin Huerter,596,33,9,38,22,17.580000000000002,57.89473684210526,46.26315789473685,11.63157894736841
19,28,1631172,Ousmane Dieng,398,29,15,47,27,21.553,57.4468085106383,45.857446808510645,11.589361702127654
20,29,1628983,Shai Gilgeous-Alexander,1321,51,17,289,169,135.626,58.477508650519034,46.92941176470588,11.548096885813152
21,30,1630200,Tre Jones,617,32,8,54,32,26.061,59.25925925925926,48.26111111111111,10.998148148148147
22,31,203897,Zach LaVine,547,29,7,28,15,11.937,53.57142857142857,42.63214285714286,10.93928571428571
23,35,203954,Joel Embiid,697,25,13,142,78,63.077000000000005,54.929577464788736,44.42042253521127,10.509154929577463
24,36,1631170,Jaime Jaquez Jr.,915,48,22,101,57,46.563,56.43564356435643,46.1019801980198,10.33366336633663
25,38,204001,Kristaps Porziņģis,388,24,7,54,28,22.65,51.851851851851855,41.94444444444444,9.907407407407412
26,39,1629060,Rui Hachimura,597,41,20,71,40,33.228,56.33802816901409,46.800000000000004,9.538028169014083
27,41,1628415,Dillon Brooks,959,35,21,164,87,71.548,53.048780487804876,43.62682926829268,9.421951219512195
28,42,202699,Tobias Harris,659,44,15,111,63,52.565,56.75675675675676,47.35585585585586,9.4009009009009
29,43,1642844,Dylan Harper,656,41,19,55,31,25.889,56.36363636363637,47.07090909090909,9.292727272727276
30,44,203935,Marcus Smart,476,32,15,38,19,15.526,50.0,40.857894736842105,9.142105263157895
