rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,14,1628378,Donovan Mitchell,1403,50,19,219,118,89.836,53.881278538812786,41.021004566210046,12.86027397260274
2,17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
3,23,1629029,Luka Dončić,1457,41,23,297,149,116.802,50.168350168350166,39.32727272727273,10.841077441077438
4,30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
5,32,1628973,Jalen Brunson,1475,51,23,363,187,153.969,51.515151515151516,42.41570247933884,9.099449035812675
6,44,1627750,Jamal Murray,1360,49,24,246,122,102.768,49.59349593495935,41.77560975609756,7.817886178861791
7,46,203954,Joel Embiid,697,25,13,206,104,88.107,50.48543689320388,42.77038834951457,7.7150485436893135
8,49,1628415,Dillon Brooks,959,35,21,223,111,94.79400000000001,49.775784753363226,42.508520179372205,7.267264573991021
9,51,202695,Kawhi Leonard,1258,44,21,326,164,141.518,50.306748466257666,43.410429447852756,6.89631901840491
10,61,1630595,Cade Cunningham,1189,49,13,217,107,93.345,49.30875576036866,43.016129032258064,6.292626728110598
11,63,201942,DeMar DeRozan,1005,54,23,438,212,184.728,48.401826484018265,42.175342465753424,6.226484018264841
12,66,1627742,Brandon Ingram,1288,55,22,433,212,185.623,48.96073903002309,42.86905311778291,6.09168591224018
13,70,1630202,Payton Pritchard,1091,52,22,232,119,105.93400000000001,51.293103448275865,45.66120689655173,5.631896551724132
14,71,1630178,Tyrese Maxey,1501,46,22,202,92,80.792,45.54455445544554,39.9960396039604,5.548514851485145
15,72,1626164,Devin Booker,1198,43,21,319,152,134.34199999999998,47.64890282131662,42.113479623824446,5.535423197492172
16,75,203468,CJ McCollum,1154,58,17,243,114,100.84800000000001,46.91358024691358,41.501234567901236,5.412345679012347
17,79,1628368,De'Aaron Fox,1047,53,18,227,114,102.798,50.220264317180614,45.285462555066076,4.934801762114539
18,105,1627759,Jaylen Brown,1543,46,25,317,145,136.524,45.74132492113565,43.06750788643533,2.6738170347003205
19,117,1630552,Jalen Johnson,1228,57,13,252,116,111.055,46.03174603174603,44.06944444444444,1.9623015873015888
20,127,1630567,Scottie Barnes,1123,52,27,232,110,107.667,47.41379310344828,46.408189655172414,1.0056034482758633
21,158,203944,Julius Randle,1207,53,24,210,92,93.967,43.80952380952381,44.74619047619048,-0.9366666666666674
22,163,1627783,Pascal Siakam,1155,49,13,299,134,137.296,44.81605351170568,45.91839464882943,-1.1023411371237444
23,164,1629614,Andrew Nembhard,753,45,12,207,89,91.735,42.99516908212561,44.31642512077295,-1.3212560386473413
24,184,1630578,Alperen Sengun,1123,55,16,225,93,100.31200000000001,41.333333333333336,44.583111111111116,-3.24977777777778
