rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,17,1628983,Shai Gilgeous-Alexander,1321,51,17,378,218,172.335,57.67195767195767,45.59126984126984,12.080687830687829
2,30,201142,Kevin Durant,1376,57,21,484,255,210.35999999999999,52.68595041322314,43.46280991735537,9.223140495867767
3,32,1628973,Jalen Brunson,1475,51,23,363,187,153.969,51.515151515151516,42.41570247933884,9.099449035812675
4,51,202695,Kawhi Leonard,1258,44,21,326,164,141.518,50.306748466257666,43.410429447852756,6.89631901840491
5,63,201942,DeMar DeRozan,1005,54,23,438,212,184.728,48.401826484018265,42.175342465753424,6.226484018264841
6,66,1627742,Brandon Ingram,1288,55,22,433,212,185.623,48.96073903002309,42.86905311778291,6.09168591224018
7,72,1626164,Devin Booker,1198,43,21,319,152,134.34199999999998,47.64890282131662,42.113479623824446,5.535423197492172
8,105,1627759,Jaylen Brown,1543,46,25,317,145,136.524,45.74132492113565,43.06750788643533,2.6738170347003205
