rank_qualified,rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
1,32,1628973,Jalen Brunson,1475,51,23,85,46,33.024,54.11764705882353,38.85176470588235,15.265882352941176
2,40,1628983,Shai Gilgeous-Alexander,1321,51,17,89,49,36.709,55.056179775280896,41.246067415730344,13.810112359550551
3,52,1626164,Devin Booker,1198,43,21,115,57,44.428,49.56521739130435,38.633043478260866,10.932173913043485
4,56,1626171,Bobby Portis,750,48,18,80,39,30.535,48.75,38.16875,10.581249999999997
5,57,1627759,Jaylen Brown,1543,46,25,141,73,58.239000000000004,51.773049645390074,41.30425531914894,10.468794326241131
6,61,201142,Kevin Durant,1376,57,21,150,74,59.09,49.333333333333336,39.39333333333333,9.940000000000005
7,74,1627750,Jamal Murray,1360,49,24,102,48,40.168,47.05882352941177,39.38039215686274,7.678431372549028
8,75,202695,Kawhi Leonard,1258,44,21,95,43,35.805,45.26315789473684,37.689473684210526,7.5736842105263165
9,77,1627742,Brandon Ingram,1288,55,22,157,73,61.706,46.496815286624205,39.3031847133758,7.193630573248406
10,82,201942,DeMar DeRozan,1005,54,23,169,76,64.973,44.97041420118343,38.445562130177514,6.524852071005917
11,99,203468,CJ McCollum,1154,58,17,77,32,29.067,41.55844155844156,37.749350649350646,3.809090909090912
12,100,1629008,Michael Porter Jr.,958,42,9,77,31,28.292,40.25974025974026,36.74285714285715,3.5168831168831147
13,103,1630162,Anthony Edwards,1231,42,19,78,33,30.451,42.30769230769231,39.03974358974359,3.2679487179487197
14,159,1642846,Ace Bailey,892,48,22,76,27,30.86,35.526315789473685,40.60526315789474,-5.078947368421055
15,172,1629614,Andrew Nembhard,753,45,12,85,29,34.763,34.11764705882353,40.89764705882352,-6.779999999999994
